2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(90,11)
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:74] - isDotAlive:点(90, 11)是活的
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,11)
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:74] - isDotAlive:点(91, 11)是活的
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,12)
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:74] - isDotAlive:点(91, 12)是活的
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(91,13)
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:74] - isDotAlive:点(91, 13)是活的
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(90,13)
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:74] - isDotAlive:点(90, 13)是活的
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(89,13)
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:74] - isDotAlive:点(89, 13)是活的
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(88,13)
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:74] - isDotAlive:点(88, 13)是活的
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(87,13)
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:74] - isDotAlive:点(87, 13)是活的
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(86,13)
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:74] - isDotAlive:点(86, 13)是活的
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,13)
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,14)
2025-11-23 14:28:14,809 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,15)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(85, 15)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,14)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:80] - isDotAlive:发现死路上的点(85, 14)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(85,13)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:74] - isDotAlive:点(85, 13)是活的
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(84,13)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(83,13)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(83,14)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(83,15)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(82,15)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(81,15)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(80,15)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(79,15)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(79,16)
2025-11-23 14:28:14,810 - back_corridor_end - INFO - [back_corridor_end.py:57] - 现在是(79,17)
